,Title,Rank,Type,Volumes,Published,Members,page_url,image_url,Score
13662,Occult Maiden: Hi Shou - Oni wo Tsugu Shounen,11740,Manga,?,Oct 2013 -,1159,https://myanimelist.net/manga/65219/Occult_Maiden__Hi_Shou_-_Oni_wo_Tsugu_Shounen,https://cdn.myanimelist.net/r/100x140/images/manga/3/163460.jpg?s=bab8aa98a22c063ba4f489dc927f6b28,6.77
13663,"Aozora, Kami Hikouki",15196,Manga,1,Mar 1996 - Mar 2002,330,https://myanimelist.net/manga/17597/Aozora_Kami_Hikouki,https://cdn.myanimelist.net/r/100x140/images/manga/3/26694.jpg?s=9e2b72cd0ed4457a9725a00e4f9491ef,6.47
13664,Urasekai Picnic,495,Novel,?,Feb 2017 -,2054,https://myanimelist.net/manga/120616/Urasekai_Picnic,https://cdn.myanimelist.net/r/100x140/images/manga/2/240259.jpg?s=2b331707f7628c49e4de8ec8f39d26bb,8.14
13665,Boku no Dorei ni Narinasai,15896,Manga,4,Aug 2011 - Nov 2016,357,https://myanimelist.net/manga/60367/Boku_no_Dorei_ni_Narinasai,https://cdn.myanimelist.net/r/100x140/images/manga/3/168271.jpg?s=5f0a0ff8570421fc7d1e3a1dd24afa21,6.38
13666,Pandemonium: Majutsushi no Mura,2122,Manga,2,Jan 2013 - Jan 2014,6984,https://myanimelist.net/manga/65021/Pandemonium__Majutsushi_no_Mura,https://cdn.myanimelist.net/r/100x140/images/manga/2/114895.jpg?s=b1bb6fc3ede8b3eede7b4f9a6db4d82e,7.61
13667,Ayu Mayu,6528,Manga,5,Dec 2006 - Apr 2009,7784,https://myanimelist.net/manga/4077/Ayu_Mayu,https://cdn.myanimelist.net/r/100x140/images/manga/2/157775.jpg?s=e37f302b3b2cc4e400927ff14483daad,7.14
13668,Unreal Sundown,17364,One-shot,?,- 2009,445,https://myanimelist.net/manga/26909/Unreal_Sundown,https://cdn.myanimelist.net/r/100x140/images/manga/1/43363.jpg?s=3a119e68075f72b7bfb726d916f3959f,5.96
13669,NHK ni Youkoso!,333,Novel,1,Jan 2002 - Jan 2002,3807,https://myanimelist.net/manga/119282/NHK_ni_Youkoso,https://cdn.myanimelist.net/r/100x140/images/manga/1/248549.jpg?s=de6048401fa7956ebae0ab1db0646cf1,8.27
13670,The Breaker,202,Manhwa,10,Jun 2007 - Jul 2010,138497,https://myanimelist.net/manga/8586/The_Breaker,https://cdn.myanimelist.net/r/100x140/images/manga/2/270151.jpg?s=02a40831949c57c9be589dfe4ef049f3,8.4
13671,Kimi ga Inakerya Iki mo Dekinai,3777,Manga,1,Feb 2005 - 2005,2021,https://myanimelist.net/manga/5125/Kimi_ga_Inakerya_Iki_mo_Dekinai,https://cdn.myanimelist.net/r/100x140/images/manga/1/103027.jpg?s=5ca696fdcfdb536340920f3759b58aa1,7.38
13672,Ma no Kakera,2522,Manga,1,Apr 2013 - Apr 2014,20218,https://myanimelist.net/manga/52435/Ma_no_Kakera,https://cdn.myanimelist.net/r/100x140/images/manga/2/138905.jpg?s=7b8768f322d402d54b1b6ec4eb4101a2,7.54
13673,Sekai Seifuku Sekirara Jogakukan,16503,Manga,3,Dec 2007 - Nov 2009,1014,https://myanimelist.net/manga/21837/Sekai_Seifuku_Sekirara_Jogakukan,https://cdn.myanimelist.net/r/100x140/images/manga/2/167948.jpg?s=80c80a3b4bb3adeee5b2af338c1305dd,6.27
